class_name,class_description,method,method_description,data_type
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,getInMeetingVideoController(),Get video controller instance in meeting.,InMeetingVideoController
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,getInMeetingWaitingRoomController(),Get waiting room controller instance in meeting.,InMeetingWaitingRoomController
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,getInMeetingWebinarController(),Get webinar controller instance in meeting.,InMeetingWebinarController
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,getMeetingPassword(),get the current meeting's password,java.lang.String
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,getMyUserID(),Get the current user ID in the meeting.,long
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,getMyUserInfo(),Get the information of current user in meeting.,InMeetingUserInfo
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,getParticipantId(),Get the current user participant id.,long
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,getUserInfoById(long userId),Get the information of the specified user.,InMeetingUserInfo
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,"handleE2EMeetingExternalSessionKeyReady(java.util.Map<EnumComponentType,com.zipow.videobox.util.E2EMeetingExternalSessionKey> params,
                                       boolean isLeaveMeeting)",Set session key of custom meeting.,boolean
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,isExternalMeeting(),Query if the current meeting is external.,boolean
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,isFailoverMeeting(),Query if the current meeting is failover.,boolean
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,isHostUser(long userId),Query if the current user is host.,boolean
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,isInternalMeeting(),Query if the current meeting is internal.,boolean
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,isMeetingConnected(),Query if the meeting is connected.,boolean
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,isMeetingHost(),Query if the current user is the host of the meeting.,boolean
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,isMeetingLocked(),Query if the meeting is locked by host.,boolean
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,isMyself(long userId),Query if the owner of ID is the current user himself.,boolean
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,isPlayChimeOn(),Query if chime is enabled when user joins/leaves meeting.,boolean
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,isWebinarMeeting(),Query if the current meeting is a webinar.,boolean
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,leaveCurrentMeeting(boolean endIfPossible),Leave the current meeting.,void
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,lockMeeting(boolean isLock),Query if the current meeting is locked by host or co-host.,MobileRTCSDKError
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,lowerAllHands(),The host puts all participants' hands down.,MobileRTCSDKError
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,lowerHand(long userId),The current user puts hands down.,MobileRTCSDKError
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,makeHost(long userId),Assign a user as the host in meeting.,MobileRTCSDKError
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,"querySessionNetworkStatus(EnumComponentType type,
                         boolean bSending)",Query network status of current meeting.,int
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,raiseMyHand(),The current user raises hand.,MobileRTCSDKError
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,reclaimHost(),Reclaim host permission.,MobileRTCSDKError
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,removeListener(InMeetingServiceListener listener),Unregister the listener for in-meeting events.,void
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,removeUser(long userId),Remove a user from the meeting.,MobileRTCSDKError
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,revokeCohost(long userId),Revoke co-host role of user in meeting.,MobileRTCSDKError
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,setPlayChimeOnOff(boolean on),Set whether to play chime when user joins or leaves meeting.,MobileRTCSDKError
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,"showZoomParticipantsUI(android.app.Activity activity,
                      int requestCode)",Show the views of ZOOM meeting participants.,void
uz.zoom.sdk.InMeetingService,Interfaces of ZOOM services in meeting.,"showZoomQAUI(android.app.Activity activity,
            int requestCode)",Show the views of ZOOM questions and answers.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onActiveSpeakerVideoUserChanged(long userId),Sink the event that the speaker of the active user changes.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onActiveVideoUserChanged(long userId),Sink the event that the video of the active user changes.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onChatMessageReceived(InMeetingChatMessage msg),Sink the event that a new chat message is received.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,"onFreeMeetingReminder(boolean isHost,
                     boolean canUpgrade,
                     boolean isFirstGift)",Inform user that free meeting will be ended in 10 minutes.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onHostAskStartVideo(long userId),Sink the event that host ask unmute user's video.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onHostAskUnMute(long userId),Sink the event that  host ask  unmute user's audio.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onJoinWebinarNeedUserNameAndEmail(InMeetingEventHandler handler),The function will be invoked when a user joins a webinar that needs username and email.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,"onLowOrRaiseHandStatusChanged(long userId,
                             boolean isRaiseHand)",Sink the event that the hand status changes.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onMeetingActiveVideo(long userId),Sink the event that Active video user changed .,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onMeetingCoHostChanged(long userId),Sink the event that meeting co-host changes.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,"onMeetingFail(int errorCode,
             int internalErrorCode)",Sink the event of meeting starts failed or user joins meeting failed,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onMeetingHostChanged(long userId),Sink the event that the host of meeting changes.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onMeetingLeaveComplete(long ret),Sink the event that user has left meeting.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onMeetingNeedColseOtherMeeting(InMeetingEventHandler handler),Sink the event that it is needed to close another ongoing meeting.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,"onMeetingNeedPasswordOrDisplayName(boolean needPassword,
                                  boolean needDisplayName,
                                  InMeetingEventHandler handler)",Sink the event if the meeting needs a password or a screen name.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onMeetingSecureKeyNotification(byte[] key),Sink the event that meeting needs session key.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onMeetingUserJoin(java.util.List<java.lang.Long> userList),Sink the event of a new user joins the meeting.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onMeetingUserLeave(java.util.List<java.lang.Long> userList),Sink the event that user leaves the meeting.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onMeetingUserUpdated(long userId),Sink the event that user's information in the meeting is upgraded.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onMicrophoneStatusError(InMeetingAudioController.MobileRTCMicrophoneError error),Sink the event of user's microphone errors.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onMyAudioSourceTypeChanged(int type),Sink the event that the output type of the current user's audio source changes.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onSilentModeChanged(boolean inSilentMode),user silent mode change callback,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onSinkAllowAttendeeChatNotification(int privilege),The function will be invoked when the chat privilege of attendees changes.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onSinkAttendeeChatPriviledgeChanged(int privilege),The function will be invoked when the chat privilege of attendees changes.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onSpotlightVideoChanged(boolean on),Sink the event that the user video spotlight status changes.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onUserAudioStatusChanged(long userId),Sink the event that user's audio status changes.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onUserAudioTypeChanged(long userId),Sink the event that user's audio type changes.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onUserNetworkQualityChanged(long userId),Sink the event that user's network quality changes.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onUserVideoStatusChanged(long userId),Sink the event that user's video status changes.,void
uz.zoom.sdk.InMeetingServiceListener,Zoom service listener in meeting.,onWebinarNeedRegister(),"During the webinar, this callback event will be triggered if the user needs to register.",void
uz.zoom.sdk.InMeetingShareController,Share controller in meeting.,addListener(InMeetingShareController.InMeetingShareListener listener),Register a listener for meeting shared callback event.,void
uz.zoom.sdk.InMeetingShareController,Share controller in meeting.,isOtherSharing(),Query if other user is sharing.,boolean
uz.zoom.sdk.InMeetingShareController,Share controller in meeting.,isSenderSupportAnnotation(long nShareSourceUserID),Query if the annotation is enabled in current sharing.,boolean
uz.zoom.sdk.InMeetingShareController,Share controller in meeting.,isShareLocked(),Query if screen share is locked by host.,boolean
uz.zoom.sdk.InMeetingShareController,Share controller in meeting.,isSharingOut(),Query if the current user is sharing successfully.,boolean
uz.zoom.sdk.InMeetingShareController,Share controller in meeting.,isSharingScreen(),Query if the current user is sharing screen.,boolean
uz.zoom.sdk.InMeetingShareController,Share controller in meeting.,lockShare(boolean isLock),The host/co-host can use this function to lock current meeting share.,MobileRTCSDKError
uz.zoom.sdk.InMeetingShareController,Share controller in meeting.,removeListener(InMeetingShareController.InMeetingShareListener listener),Unregister the listener.,void
uz.zoom.sdk.InMeetingShareController,Share controller in meeting.,startShareScreenContent(),Start sharing screen.,MobileRTCSDKError
uz.zoom.sdk.InMeetingShareController,Share controller in meeting.,startShareScreenSession(android.content.Intent data),Start sharing screen.,MobileRTCSDKError
uz.zoom.sdk.InMeetingShareController,Share controller in meeting.,startShareViewContent(MobileRTCShareView shareView),Sharing the content saved in MobileRTCShareView.,MobileRTCSDKError
uz.zoom.sdk.InMeetingShareController,Share controller in meeting.,startShareViewSession(),Start sharing the content saved in MobileRTCShareView.,MobileRTCSDKError
uz.zoom.sdk.InMeetingShareController,Share controller in meeting.,stopShareScreen(),Stop sharing screen.,MobileRTCSDKError
uz.zoom.sdk.InMeetingShareController,Share controller in meeting.,stopShareView(),Stop sharing the content in MobileRTCShareView.,MobileRTCSDKError
uz.zoom.sdk.InMeetingShareController.InMeetingShareListener,Callback event of meeting sharing.,onShareActiveUser(long userId),Sink the event that the user is sharing.,void
uz.zoom.sdk.InMeetingShareController.InMeetingShareListener,Callback event of meeting sharing.,onShareUserReceivingStatus(long userId),Sink the event of the status that user receives the sharing.,void
uz.zoom.sdk.InMeetingUserInfo,User Information Object in ZOOM meeting.,getAudioStatus(),Get user audio status in ZOOM meeting defined in InMeetingUserInfo.VideoStatus.,InMeetingUserInfo.AudioStatus
uz.zoom.sdk.InMeetingUserInfo,User Information Object in ZOOM meeting.,getAvatarPath(),Get the avatar path.,java.lang.String
uz.zoom.sdk.InMeetingUserInfo,User Information Object in ZOOM meeting.,getEmail(),Get working email of user account.,java.lang.String
uz.zoom.sdk.InMeetingUserInfo,User Information Object in ZOOM meeting.,getInMeetingUserRole(),User roles in ZOOM meeting defined in InMeetingUserInfo.InMeetingUserRole.,InMeetingUserInfo.InMeetingUserRole
uz.zoom.sdk.InMeetingUserInfo,User Information Object in ZOOM meeting.,getUserId(),Get the user ID.,long
uz.zoom.sdk.InMeetingUserInfo,User Information Object in ZOOM meeting.,getUserName(),Get user name.,java.lang.String
uz.zoom.sdk.InMeetingUserInfo,User Information Object in ZOOM meeting.,getVideoStatus(),Get user video status in ZOOM meeting defined in InMeetingUserInfo.VideoStatus.,InMeetingUserInfo.VideoStatus
uz.zoom.sdk.InMeetingUserInfo,User Information Object in ZOOM meeting.,getWebinarAttendeeStatus(),Get attendee status in webinar.,InMeetingUserInfo.WebinarAttendeeStatus
uz.zoom.sdk.InMeetingUserInfo,User Information Object in ZOOM meeting.,isH323User(),Query if the user is h323 user.,boolean
uz.zoom.sdk.InMeetingUserInfo,User Information Object in ZOOM meeting.,isInWaitingRoom(),Query if the participant is in the waiting room.,boolean
uz.zoom.sdk.InMeetingUserInfo,User Information Object in ZOOM meeting.,isPureCallInUser(),Query if the user is telephone user,boolean
uz.zoom.sdk.InMeetingUserInfo,User Information Object in ZOOM meeting.,isRaisedHand(),Query if the hand is raised.,boolean
uz.zoom.sdk.InMeetingUserInfo,User Information Object in ZOOM meeting.,setH323User(boolean h323User),N/A,void
uz.zoom.sdk.InMeetingUserInfo,User Information Object in ZOOM meeting.,setPureCallInUser(boolean pureCallInUser),N/A,void
uz.zoom.sdk.InMeetingUserInfo.InMeetingUserRole,"An enumeration of user roles.
 Here are more detailed structural descriptions.",valueOf(java.lang.String name),Returns the enum constant of this type with the specified name.,static InMeetingUserInfo.InMeetingUserRole
uz.zoom.sdk.InMeetingUserInfo.InMeetingUserRole,"An enumeration of user roles.
 Here are more detailed structural descriptions.",values(),"Returns an array containing the constants of this enum type, in
the order they are declared.",static InMeetingUserInfo.InMeetingUserRole[]
uz.zoom.sdk.InMeetingUserInfo.SDK_NETWORK_STATUS,N/A,N/A,N/A,N/A
uz.zoom.sdk.InMeetingUserList,Zoom in-meeting user list,getUserCount(),This method is used to get user count in meeting,int
uz.zoom.sdk.InMeetingUserList,Zoom in-meeting user list,getUserInfoByIndex(int index),This method is used to get user info by index,InMeetingUserInfo
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,activeVideoUserID(),Get the ID of user whose video is active in the meeting.,long
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,askAttendeeStartVideo(long userId),Host can use the function to ask the user to start video.,MobileRTCSDKError
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,canSwitchCamera(),Query if it is able to switch camera.,boolean
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,canUnmuteMyVideo(),Query if user is able to unmute himself.,boolean
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,getCameraDeviceList(),Get the list of all camera devices.,java.util.List<CameraDevice>
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,getPinnedUser(),Get the user ID of current pinned video.,long
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,getSelectedCameraId(),Get the ID of currently selected camera.,java.lang.String
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,isBackCamera(java.lang.String cameraId),Query if the camera is the back one.,boolean
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,isFrontCamera(java.lang.String cameraId),Query if the camera is the front one.,boolean
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,isMyVideoMuted(),Query if the video of current user is muted or not.,boolean
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,isUserPinned(long userId),Query if the current user's video is pinned.,boolean
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,isUserVideoSpotLighted(long userId),Query if the user's video is spotlighted.,boolean
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,muteMyVideo(boolean mute),Set to mute/unmute the video.,MobileRTCSDKError
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,"pinVideo(boolean on,
        long userId)","Set whether to pin user's video or not, which means that during a video conference, the monitor will always display the specified user's view instead of active speaker's video.",MobileRTCSDKError
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,rotateMyVideo(int rotation),Set to rotate user's video.,boolean
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,setVideoCaptureSurfaceHolder(android.view.SurfaceHolder holder),Set a surface holder to capture video with camera.,void
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,"spotLightVideo(boolean on,
              long userId)",Set whether to spotlight user's video or not.,MobileRTCSDKError
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,stopAttendeeVideo(long userId),Host can use the function to mute user's video.,MobileRTCSDKError
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,switchCamera(java.lang.String cameraId),Switch to camera by ID.,boolean
uz.zoom.sdk.InMeetingVideoController,Video controller in meeting.,switchToNextCamera(),Switch to next camera.,boolean
uz.zoom.sdk.InMeetingWaitingRoomController,Waiting Room of Meeting Service Interface,addListener(InMeetingWaitingRoomController.InMeetingWaitingRoomListener listener),Register a listener for meeting waiting room callback.,void
uz.zoom.sdk.InMeetingWaitingRoomController,Waiting Room of Meeting Service Interface,admitToMeeting(long userId),Allow user to join the meeting.,MobileRTCSDKError
uz.zoom.sdk.InMeetingWaitingRoomController,Waiting Room of Meeting Service Interface,enableWaitingRoomOnEntry(boolean bEnable),Enable the feature to put attendees in waiting room when they enter the current meeting.,MobileRTCSDKError
uz.zoom.sdk.InMeetingWaitingRoomController,Waiting Room of Meeting Service Interface,getWaitingRoomUserInfoByID(long userId),Get the information of user who is in the waiting room by user ID.,InMeetingUserInfo
uz.zoom.sdk.InMeetingWaitingRoomController,Waiting Room of Meeting Service Interface,getWaitingRoomUserLst(),Get the list of meeting participants in the waiting room.,java.util.List<java.lang.Long>
uz.zoom.sdk.InMeetingWaitingRoomController,Waiting Room of Meeting Service Interface,isSupportWaitingRoom(),Query if it is able to enable waiting room in the current meeting.,boolean
uz.zoom.sdk.InMeetingWaitingRoomController,Waiting Room of Meeting Service Interface,isSupportWaitingRoomUponEntryFeature(),Query if it is able to put attendees in waiting room in current meeting.,boolean
uz.zoom.sdk.InMeetingWaitingRoomController,Waiting Room of Meeting Service Interface,isWaitingRoomOnEntryFlagOn(),Query if it is able to make the attendees enter waiting room when they join the current meeting.,boolean
uz.zoom.sdk.InMeetingWaitingRoomController,Waiting Room of Meeting Service Interface,putInWaitingRoom(long userId),Put user into waiting room.,MobileRTCSDKError
uz.zoom.sdk.InMeetingWaitingRoomController,Waiting Room of Meeting Service Interface,removeListener(InMeetingWaitingRoomController.InMeetingWaitingRoomListener listener),Unregister the listener.,void
uz.zoom.sdk.InMeetingWaitingRoomController.InMeetingWaitingRoomListener,Callback Event of Meeting Waiting Room.,onWatingRoomUserJoin(long userId),Callback event that user joins the waiting room.,void
uz.zoom.sdk.InMeetingWaitingRoomController.InMeetingWaitingRoomListener,Callback Event of Meeting Waiting Room.,onWatingRoomUserLeft(long userId),Callback event that user leaves waiting room.,void
uz.zoom.sdk.InMeetingWebinarController,Webinar controller in meeting.,addListener(InMeetingWebinarController.InMeetingWebinarListener listener),Register a listener to listen for the callback of webinar event.,void
uz.zoom.sdk.InMeetingWebinarController,Webinar controller in meeting.,allowAttendeeChat(),Allow attendee to chat.,MobileRTCSDKError
uz.zoom.sdk.InMeetingWebinarController,Webinar controller in meeting.,allowAttendeeTalk(long userId),Allow attendee to talk.,MobileRTCSDKError
uz.zoom.sdk.InMeetingWebinarController,Webinar controller in meeting.,allowPanelistStartVideo(),Allow panelist to start video.,MobileRTCSDKError
uz.zoom.sdk.InMeetingWebinarController,Webinar controller in meeting.,depromptPanelist2Attendee(long userId),Demote the panelist to attendee.,MobileRTCSDKError
uz.zoom.sdk.InMeetingWebinarController,Webinar controller in meeting.,disallowAttendeeChat(),Disallow attendee to chat.,MobileRTCSDKError
uz.zoom.sdk.InMeetingWebinarController,Webinar controller in meeting.,disAllowAttendeeTalk(long userId),Disallow attendee to talk.,MobileRTCSDKError
uz.zoom.sdk.InMeetingWebinarController,Webinar controller in meeting.,disallowPanelistStartVideo(),Disallow panelist to start video.,MobileRTCSDKError
uz.zoom.sdk.InMeetingWebinarController,Webinar controller in meeting.,isAllowAttendeeChat(),Query if attendee is able to chat.,boolean
uz.zoom.sdk.InMeetingWebinarController,Webinar controller in meeting.,isAllowPanellistStartVideo(),Query if panelist is able to start video.,boolean
uz.zoom.sdk.InMeetingWebinarController,Webinar controller in meeting.,isSupportAttendeeTalk(),Query if attendee in the current meeting is allowed to talk.,boolean
uz.zoom.sdk.InMeetingWebinarController,Webinar controller in meeting.,promptAttendee2Panelist(long userId),Prompt attendee to panelist.,MobileRTCSDKError
uz.zoom.sdk.InMeetingWebinarController,Webinar controller in meeting.,removeListener(InMeetingWebinarController.InMeetingWebinarListener listener),Unregister the listener.,void
uz.zoom.sdk.InMeetingWebinarController.InMeetingWebinarListener,Callback event of webinar.,onAllowAttendeeChatResult(),Sink the event that attendee is enabled to chat.,void
uz.zoom.sdk.InMeetingWebinarController.InMeetingWebinarListener,Callback event of webinar.,onAllowPanelistStartVideoNotification(),Sink the event that panelist is enabled to start video.,void
uz.zoom.sdk.InMeetingWebinarController.InMeetingWebinarListener,Callback event of webinar.,"onAttendeeAudioStatusNotification(long userId,
                                 boolean can_talk,
                                 boolean is_muted)",Sink the event that attendee's audio status changes.,void
uz.zoom.sdk.InMeetingWebinarController.InMeetingWebinarListener,Callback event of webinar.,onDepromptPanelist2AttendeeResult(long result),Sink the event of the result of demoting the panelist to attendee.,void
uz.zoom.sdk.InMeetingWebinarController.InMeetingWebinarListener,Callback event of webinar.,onDisallowAttendeeChatResult(),Sink the event that attendee is disabled to chat.,void
uz.zoom.sdk.InMeetingWebinarController.InMeetingWebinarListener,Callback event of webinar.,onDisallowPanelistStartVideoNotification(),Sink the event that panelist is disabled to start video.,void
uz.zoom.sdk.InMeetingWebinarController.InMeetingWebinarListener,Callback event of webinar.,onPromptAttendee2PanelistResult(long result),Sink the event of the result of promoting the attendee to panelist.,void
uz.zoom.sdk.InMeetingWebinarController.InMeetingWebinarListener,Callback event of webinar.,onSelfAllowTalkNotification(),Sink the event that attendees are allowed to talk.,void
uz.zoom.sdk.InMeetingWebinarController.InMeetingWebinarListener,Callback event of webinar.,onSelfDisallowTalkNotification(),Sink the event that attendees are forbidden to talk.,void
uz.zoom.sdk.InstantMeetingOptions,Meeting Options to start an instant meeting.,N/A,N/A,N/A
uz.zoom.sdk.InviteOptions,Options to enable/disable the items on invitation list.,N/A,N/A,N/A
uz.zoom.sdk.InviteRoomSystemHelper,Invitation room system helper.,addEventListener(InviteRoomSystemListener listener),Register a listener for invitation room system.,void
uz.zoom.sdk.InviteRoomSystemHelper,Invitation room system helper.,callOutRoomSystem(RoomSystemDevice device),Outgoing call from room system.,boolean
uz.zoom.sdk.InviteRoomSystemHelper,Invitation room system helper.,cancelCallOutRoomSystem(),Cancel the outgoing call from room system.,boolean
uz.zoom.sdk.InviteRoomSystemHelper,Invitation room system helper.,getH323Address(),Get H.323 address of the current meeting.,java.lang.String[]
uz.zoom.sdk.InviteRoomSystemHelper,Invitation room system helper.,getH323Password(),Get H.323 password of the current meeting.,java.lang.String
uz.zoom.sdk.InviteRoomSystemHelper,Invitation room system helper.,getRoomDevices(),Get the list of devices in current meeting room.,java.util.List<RoomSystemDevice>
uz.zoom.sdk.InviteRoomSystemHelper,Invitation room system helper.,removeEventListener(InviteRoomSystemListener listener),Unregister the listener for invitation room system.,void
uz.zoom.sdk.InviteRoomSystemHelper,Invitation room system helper.,"sendMeetingPairingCode(long meetingNumber,
                      java.lang.String pairingCode)",Query if the meeting pairing code is sent in progress.,boolean
uz.zoom.sdk.InviteRoomSystemHelper.CallOutRoomSystemStatus,Room system outgoing call status.,valueOf(java.lang.String name),Returns the enum constant of this type with the specified name.,static InviteRoomSystemHelper.CallOutRoomSystemStatus
uz.zoom.sdk.InviteRoomSystemHelper.CallOutRoomSystemStatus,Room system outgoing call status.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared.",static InviteRoomSystemHelper.CallOutRoomSystemStatus[]
uz.zoom.sdk.InviteRoomSystemHelper.PairingRoomSystemResult,Room system pairing status.,valueOf(java.lang.String name),Returns the enum constant of this type with the specified name.,static InviteRoomSystemHelper.PairingRoomSystemResult
uz.zoom.sdk.InviteRoomSystemHelper.PairingRoomSystemResult,Room system pairing status.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared.",static InviteRoomSystemHelper.PairingRoomSystemResult[]
uz.zoom.sdk.InviteRoomSystemListener,Invitation room system status/result listener.,onCallOutRoomSystemStatusChanged(InviteRoomSystemHelper.CallOutRoomSystemStatus status),Callback event that room outgoing call status changes.,void
uz.zoom.sdk.InviteRoomSystemListener,Invitation room system status/result listener.,"onParingRoomSystemResult(InviteRoomSystemHelper.PairingRoomSystemResult result,
                        long meetingNumber)",Callback event of the result of room system pairing.,void
uz.zoom.sdk.IQAItemInfo,N/A,amILiveAnswering(),Query  myself is the live answer.,boolean
uz.zoom.sdk.IQAItemInfo,N/A,getAnswerList(),Get the answer  information list,java.util.List<IAnswerItem>
uz.zoom.sdk.IQAItemInfo,N/A,getLiveAnswerName(),Get the name of live answering.,java.lang.String
uz.zoom.sdk.IQAItemInfo,N/A,getQuestionID(),Get question id,java.lang.String
uz.zoom.sdk.IQAItemInfo,N/A,getSenderName(),Get the question sender user name,java.lang.String
uz.zoom.sdk.IQAItemInfo,N/A,getState(),Get question status,int
uz.zoom.sdk.IQAItemInfo,N/A,getText(),Get question content,java.lang.String
uz.zoom.sdk.IQAItemInfo,N/A,getTimeStamp(),Get question add timestamp,long
uz.zoom.sdk.IQAItemInfo,N/A,getUpvoteNum(),Get upvote number,int
uz.zoom.sdk.IQAItemInfo,N/A,hasLiveAnswers(),Query the question  has live answers,boolean
uz.zoom.sdk.IQAItemInfo,N/A,hasTextAnswers(),Query the question  has text answers,boolean
uz.zoom.sdk.IQAItemInfo,N/A,isAnonymous(),Query is the question anonymous,boolean
uz.zoom.sdk.IQAItemInfo,N/A,isLiveAnswering(),Query the question is live answering,boolean
uz.zoom.sdk.IQAItemInfo,N/A,isMarkedAsAnswered(),Query is the question marked as answered.,boolean
uz.zoom.sdk.IQAItemInfo,N/A,isMarkedAsDismissed(),Query is the question marked as dismissed.,boolean
uz.zoom.sdk.IQAItemInfo,N/A,isMySelfUpvoted(),Query if myself has upvote the question,boolean
uz.zoom.sdk.IQAItemInfo,N/A,isSenderMyself(),Query if the question send  by myself.,boolean
uz.zoom.sdk.IQAItemStatus,N/A,N/A,N/A,N/A
uz.zoom.sdk.IZoomRetrieveSMSVerificationCodeHandler,N/A,cancelAndLeaveMeeting(),N/A,boolean
uz.zoom.sdk.IZoomRetrieveSMSVerificationCodeHandler,N/A,"retrieve(java.lang.String country_code,
        java.lang.String phone_number)",N/A,boolean
uz.zoom.sdk.IZoomSDKAudioRawDataDelegate,"Zoom SDK  Audio raw data callback.
 
 IZoomSDKAudioRawDataHelper.subscribe(IZoomSDKAudioRawDataDelegate)",onMixedAudioRawDataReceived(ZoomSDKAudioRawData rawData),mixed audio raw data received callback,void
uz.zoom.sdk.IZoomSDKAudioRawDataDelegate,"Zoom SDK  Audio raw data callback.
 
 IZoomSDKAudioRawDataHelper.subscribe(IZoomSDKAudioRawDataDelegate)","onOneWayAudioRawDataReceived(ZoomSDKAudioRawData rawData,
                            int userId)",User audio raw data received callback,void
uz.zoom.sdk.IZoomSDKAudioRawDataHelper,N/A,subscribe(IZoomSDKAudioRawDataDelegate delegate),subscribe audio raw data.,MobileRTCRawDataError
